feature,importance
latitude,0.3567426805988766
median_income,0.34579896921248504
longitude,0.24382475023661354
dist_to_la,0.1697870700810794
ocean_proximity,0.15336698563009166
population_per_household,0.13054404045619025
dist_to_sf,0.11774384495465488
rooms_per_household,0.04339553087265615
housing_median_age,0.032839808495437814
bedrooms_per_room,0.031158047145865342
total_rooms,0.004188305818983174
total_bedrooms,0.0023745304506442187
population,0.0011761851672279279
households,0.0006225577464162857
